Equation,Correct Answer,Wrong 1,Wrong 2,Wrong 3
(1 + 16 + 20) x 2,74,69,74,79
(3 + 12 + 18) / 3,11,12,7,13
(14 + 4 + 2) x 5,100,94,97,95
(4 + 15 + 16) / 5,7,8,6,13
(10 - 2 + 4) x 2,24,30,23,19
(20 + 9 - 3) / 2,13,7,14,6
(1 + 2 + 4) x 3,21,20,20,14
(16 - 11 + 10) / 5,3,0,3,3
(16 + 4 - 8) x 3,36,32,37,33
(1 - 11 + 13) / 1,3,5,11,-2
(14 - 12 + 6) x 4,32,35,32,29
(1 - 8 + 11) / 2,2,5,3,0
(11 - 5 + 4) x 3,30,29,22,23
(13 + 1 + 5) / 3,6,7,10,9
(5 x 5 - 10) / 5,3,6,9,4
(16 - 12 + 4) x 2,16,21,18,18
(9 + 3 - 5) / 1,7,11,14,3
(2 + 17 - 3) x 2,32,26,33,31
(5 + 6 + 4) / 3,5,2,-3,10
(15 + 8 - 3) x 1,20,23,18,13
(3 + 3 + 6) / 3,4,9,9,4
(14 - 1 + 2) x 2,30,29,25,22
(4 + 8 + 6) / 2,9,10,4,10
(1 + 3 + 5) x 3,27,27,34,28
(1 + 5 - 4) / 2,1,2,-1,2
(2 + 19 - 9) / 4,3,1,4,10
(19 - 8 + 3) x 2,28,28,20,27
(17 + 4 - 10) / 3,3,4,-3,7
(1 + 2 + 5) x 3,24,30,21,33
(5 + 10 - 6) / 3,3,5,1,7
(11 + 6 - 4) x 2,26,25,31,23
(9 - 5 + 8) / 2,6,10,6,-3
(12 - 16 + 6) x 3,6,8,-1,-4
(5 + 1 + 4) / 2,5,7,11,-4
(6 + 6 - 2) x 3,30,24,28,35
(9 + 10 - 4) / 3,5,5,12,-2
(1 + 9 - 3) x 2,14,19,6,16
(14 - 2 + 5) / 3,5,7,2,14
(10 + 4 - 6) x 2,16,17,19,11
(1 + 1 - 1) / 1,1,1,6,8
(8 - 5 + 4) x 2,14,18,17,16
(10 + 5 - 4) / 2,5,11,13,12
(6 + 3 + 1) x 3,30,32,30,30
(2 + 5 - 2) / 2,2,1,0,11
(12 - 8 + 3) x 2,14,18,20,16
(2 + 7 - 3) / 2,3,-1,1,6
(13 - 2 + 1) x 3,36,38,34,39
(6 + 9 - 4) / 3,3,6,-5,-2
(11 + 3 - 6) x 2,16,17,8,14
(12 - 8 + 5) / 3,3,9,1,13
(5 + 12 - 4) x 3,39,33,32,34
(7 + 8 + 2) / 2,8,11,14,-2
(6 + 10 - 5) x 4,44,43,43,54
(9 + 15 - 6) / 3,6,7,7,-1
(3 + 5 + 7) x 2,30,25,30,22
(8 + 12 - 4) / 4,4,-1,12,0
(14 + 6 - 5) x 3,45,49,42,54
(10 + 20 - 9) / 3,7,8,3,14
(4 + 9 + 6) x 2,38,37,45,38
(12 + 18 - 8) / 2,11,12,18,15
(6 + 9 - 3) x 4,48,51,56,57
(10 + 5 + 10) / 5,5,1,5,2
(7 + 14 - 6) x 2,30,31,27,27
(9 + 3 + 6) / 3,6,3,5,6
(5 + 8 - 2) x 3,33,27,38,43
(15 + 5 - 10) / 2,5,11,9,-1
(4 + 11 + 9) x 2,48,49,43,40
(6 + 8 - 3) / 3,3,7,-3,7
(10 + 6 + 4) x 3,60,56,57,65
(18 + 2 - 10) / 5,2,7,8,12
